interfacecontrol_mainmenu               主选单
interfacecontrol_mainmenu_tooltip       切换显示主选单 (新建/读取/存档 等等)

object_firemen_hosehelp                 按住不放来移动，按着火焰不放可以手动瞄准水管。

click_to_continue                       按一下继续...
gameover_caption                        开启主选单继续游戏

adviser_deathrow_explain5               等待时不妨四处看看，拖动荧幕来移动画面，用两只手指进行缩放。

adviser_deathrow_internaldoors2         点选荧幕右上角的旋转按钮，可以在放置物品前旋转物品的方向。

objective_deathrow_buildinternaldoors   盖一个内门。

adviser_deathrow_transfer2              按一下选择他，然后在牢房外面按住不放，即可开始移送囚犯。

objective_deathrow_transferinmate       当你准备好时，就可以开始移送囚犯，按一下选择他，然后在牢房外面按住不放。

objective_food_extinguishflames_description  当选择消防队员时，你可以按着火焰不放来手动瞄准水管，但是火焰距离必须在15格之内。
