
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              新建
dialog_load                             读取
dialog_save                             储存
dialog_saveas                           另存
dialog_delete                           删除
dialog_width                            宽
dialog_height                           高
dialog_name                             名称
dialog_type                             类型
dialog_x                                X
dialog_y                                Y
dialog_z								Z
dialog_w                                W
dialog_h                                H
dialog_exit                             离开
dialog_cancel                           取消
dialog_ok                               确认
dialog_open                             开启
dialog_close                            关闭
dialog_closed                           已关闭
dialog_add                              增加
dialog_up                               上
dialog_down                             下
dialog_yes                              是
dialog_no                               否
dialog_loading                          读取中...
dialog_low                              低
dialog_medium                           中
dialog_high                             高
dialog_none                             无
ellipsis                                ...


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title                      对话编辑器
dialogeditor_back                       后
dialogeditor_front                      前
dialogeditor_reloadlanguage             重新载入语言
dialogeditor_test                       测试
dialogeditor_window                     视窗
dialogeditor_grid                       网格
dialogeditor_caption                    标题
dialogeditor_component                  元件
dialogeditor_select						选择
dialogeditor_create						建立
dialogeditor_background                 背景图
dialogeditor_panel                      面板

dialogcomponent_custom                  自订
dialogcomponent_button                  按钮
dialogcomponent_container               容器
dialogcomponent_caption                 标题
dialogcomponent_titlecaption            标题说明
dialogcomponent_checkbox                勾选框
dialogcomponent_inputfield              输入框
dialogcomponent_inputslider             滑杆
dialogcomponent_dropdownmenu            下拉式选单
dialogcomponent_selectionlist           选择列表
dialogcomponent_selectionlistitem       选择列表项目
dialogcomponent_scrollbar               卷轴
dialogcomponent_progressbar             进度条
dialogcomponent_canvas                  画布
dialogcomponent_iconbox					图示

dialogposition_absolute                 绝对
dialogposition_relative                 相对
dialogposition_scaled                   缩放


# =============================================================================
# Profiler
# =============================================================================

profiler_title                          分析器
profiler_name                           名称
profiler_timings                        时机
profiler_totaltime                      总计
profiler_glfinishcaption                glFinish
profiler_reset                          重设


# =============================================================================
# Sound tools
# =============================================================================

soundchannelviewer_title                音效频道
soundeditor_title                       音效编辑器
soundinstanceeditor_title				音效物件编辑器

soundeditor_positiontitle		        位置类型
soundeditor_instancetitle		        物件类型
soundeditor_looptitle			        重播方式
soundeditor_sourcetypetitle		        音效类型
soundeditor_soundnametitle		        音效名称

soundeditor_volumetitle			        音量
soundeditor_frequencytitle              频率
soundeditor_mindistancetitle            最短距离
soundeditor_attacktitle                 攻击
soundeditor_sustaintitle                承受
soundeditor_releasetitle                释放
soundeditor_loopdelaytitle              重播延迟
soundeditor_dsptitle                    DSP
soundeditor_nexteventtitle              下一个事件

soundeditor_play                        播放
soundeditor_stop                        停止

soundparametereditor_title              音效参数
soundparametereditor_typetitle          类型
soundparametereditor_linktitle          连结至
soundparametereditor_updatetitle        更新类型
soundparametereditor_smoothing          平滑
soundparametereditor_chaintitle         连锁

soundeditor_newdsp                      新增 DSP
sounddspeditor_title                    DSP 编辑器
samplebankeditor_title                  范例库编辑器
samplebankeditor_addsample              新增音效
samplebank                              (范例库)


# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_done                            完成
interfacemode_destroy                         铲除
interfacemode_foundations				      地基
interfacemode_construction                    建材
interfacemode_planning                        规划
interfacemode_objects                         物件
interfacemode_designation                     规划房间
interfacemode_utilities                       设施
interfacemode_staff                           员工
interfacemode_deployment                      部署
interfacemode_logistics                       后勤
interfacemode_prisoners                       囚犯
interfacemode_needs                           需求
interfacemode_threats                         威胁
interfacemode_overlays                        图层
interfacemode_research                        制度
interfacemode_emergencies                     紧急
interfacemode_clone                           复制建设
interfacemode_contraband                      情报
interfacemode_grading                         评鉴
interfacemode_spawn                           (重生)
interfacemode_properties                      (属性)
interfacemode_cutscenes                       (过场)
interfacemode_selection                       选择

interfaceoverlay_security                       保安
interfaceoverlay_patrols                        巡逻
interfaceoverlay_decay                          腐朽
interfaceoverlay_territory                      领土
interfaceoverlay_contraband                     违禁品

interfaceproperty_indoor                        室内
interfaceproperty_visible                       可见
interfaceproperty_territoryprisoner             帮派
interfaceproperty_territoryguard                警卫
interfaceproperty_sectorprisoner                暴动
interfaceproperty_tunnel                        地道

interfacedeployment_guards                      部署警卫
interfacedeployment_patrols                     警卫巡逻路线
interfacedeployment_dogpatrols                  警犬巡逻路线
interfacedeployment_armedpatrols                武警巡逻路线
interfacedeployment_removeguards                移除警卫
interfacedeployment_clearpatrols                移除巡逻路线
interfacedeployment_targetting                  后勤
interfacedeployment_targettingfood              食物后勤
interfacedeployment_targettinglaundry           衣物后勤
interfacedeployment_securearea                  安全区域
interfacedeployment_sharedzone                  公共区域
interfacedeployment_staffonlyzone               员工专区
interfacedeployment_maxseczone                  重刑犯专区
interfacedeployment_medseczone                  普通犯专区
interfacedeployment_minseczone                  轻刑犯专区
interfacedeployment_protectedzone               保护收容专区
interfacedeployment_supermaxzone                超重刑犯专区
interfacedeployment_deathrowzone                死刑犯专区
interfacedeployment_unlockedzone                不上锁区域
interfacedeployment_zonered                     红色区域
interfacedeployment_zonegreen                   绿色区域
interfacedeployment_zoneblue                    蓝色区域
interfacedeployment_zoneyellow                  黄色区域

interfacelogistics_jobs                         监狱劳动
interfacelogistics_removejobs                   移除劳动名额
interfacelogistics_targettingfood               食物分配
interfacelogistics_targettinglaundry            衣物分配
interfacelogistics_roomquality                  房间品质

interfaceplanning_wall							墙
interfaceplanning_object						物件
interfaceplanning_route							走道
interfaceplanning_clear							清除

interfacecontraband_source                      潜在危险
interfacecontraband_day                         24小时内
interfacecontraband_week                        7天内
interfacecontraband_alltime                     30天内
interfacecontraband_informants                  线人
interfacecontraband_gangs                       帮派

interfaceclone_copy                             复制
interfaceclone_paste                            贴上

interfacetopbar_todo							待办事项
interfacetopbar_balance							存款 *B
interfacetopbar_budget							资金流动 *C
interfacetopbar_income							收入 *I
interfacetopbar_expenses						支出 *C
interfacetopbar_day								第 *D 天

interfacetopbar_title_balance					银行存款
interfacetopbar_title_budget					每日资金流动
interfacetopbar_title_cctv						闭路监视器
interfacetopbar_title_day						天数
interfacetopbar_title_prisoners					囚犯
interfacetopbar_title_guards					警卫
interfacetopbar_title_tension                   危险等级

interfacetopbar_tooltip_balance					银行内的存款金额。\n\n点选以透过补助计划清单取得更多资金。
interfacetopbar_tooltip_budget					根据目前支出和收入所算出每天监狱能获取的金额。\n\n点选开启更详细的收入和支出明细。
interfacetopbar_tooltip_cctv					目前拥有的闭路摄影机和监视器数量。
interfacetopbar_tooltip_day						监狱目前营运总天数。
interfacetopbar_tooltip_prisoners				目前收容的囚犯的数量，以及监狱能收容的上限人数。
interfacetopbar_tooltip_guards					监狱内目前闲置、可进行其他工作的警卫数量。
interfacetopbar_tooltip_tension                 监狱保安队长所评估的监狱潜在危险程度等级。

interfacetopbar_tooltip_recenttransactions      最近的资金活动

interfacetopbar_tooltip_gametime                总游玩时数: *X小时，*Y分，*Z秒

interfacetopbar_tooltip_totalguards             共计 *X 名警卫
interfacetopbar_tooltip_guardincapacitated      *X 名无法行动
interfacetopbar_tooltip_guardstationed          *X 名站岗中 
interfacetopbar_tooltip_guardpatrolling         *X 名巡逻中
interfacetopbar_tooltip_guardavailable          *X 名闲置中
interfacetopbar_tooltip_guardresting            *X 名休息中
interfacetopbar_tooltip_guardactive             (*X 名正赶往事故现场)
interfacetopbar_tooltip_guarddoingjob           (*X 名正在进行任务)
interfacetopbar_tooltip_idle                    (*X 名目前闲置)
interfacetopbar_tooltip_armedguards             + *X 名武装警卫
interfacetopbar_tooltip_dogs                    + *X 名带犬警卫

interfacetopbar_unlimitedfunds                  无限资金

interfacetopbar_budget_moneyin					收入: $*M /日
interfacetopbar_budget_moneyout					支出: $*M /日
interfacetopbar_budget_cantgonegative           在聘请会计师管理监狱财务之前，资金流动不可为负的 (也就是支出大于收入) 。

interfacetopbar_prisoners_types					目前收容 *X 名囚犯:
interfacetopbar_prisoners_capacity              最大安全收容人数: *X
interfacetopbar_prisonercells_shared            公共区域容量: *X
interfacetopbar_prisonercells_unlocked          不上锁区域容量: *X
interfacetopbar_prisonercells_minseconly        轻刑犯专区容量: *X
interfacetopbar_prisonercells_medseconly        普通犯专区容量: *X
interfacetopbar_prisonercells_maxseconly        重刑犯专区容量: *X
interfacetopbar_prisonercells_protectedonly     保护收容专区容量: *X
interfacetopbar_prisonercells_supermaxonly      超重刑犯专区容量: *X
interfacetopbar_prisonercells_deathrowonly      死刑犯专区容量: *X
interfacetopbar_prisonercells_staffonly         员工专区(无法收容囚犯): *X

interfacetopbar_cctv_current					目前共有 *C 支摄影机运作中
interfacetopbar_cctv_cap						尚可安装 *C 支摄影机

interfacetopbar_tension_currentlevel            目前危险等级为 *X
interfacetopbar_tension_increasing              且正在提高中
interfacetopbar_tension_decreasing              且正在降低中
interfacetopbar_tension_description             潜在危险因素:
interfacetopbar_tension_happyprisoners          - *X 名囚犯说他们受到良好的对待
interfacetopbar_tension_unhappyprisoners        + *X 名囚犯正在严重的抱怨
interfacetopbar_tension_lockedupprisoners       + *X 名囚犯正在自己的牢房或禁闭室禁足中
interfacetopbar_tension_riotingprisoners        + *X 名囚犯正在暴动
interfacetopbar_tension_wellfedprisoners        - *X 名囚犯觉得饱足
interfacetopbar_tension_suppressedprisoners     = *X 名囚犯受压抑 (发牢骚)
interfacetopbar_tension_activeriotguards        + *X 名镇暴警察正在现场
interfacetopbar_tension_activearmedguards       + *X 名武装警察值勤中
interfacetopbar_tension_recentdeaths            + *X 个人最近被杀了
interfacetopbar_tension_recentsearches          + *X 名囚犯最近被无故搜身
interfacetopbar_tension_angrygangmembers        + *X 名帮派成员非常愤怒 (他们老大被处罚了)
interfacetopbar_tension_recentpunishments       = (镇压) 近期执行了 *X 项处罚
interfacetopbar_tension_recentcalmed            - *X 名囚犯最近被安抚

interfacecontrol_mainmenu                       主选单 (Esc)
interfacecontrol_mainmenu_tooltip               显示主选单 (新游戏/读取/存档/离开 等等)
interfacecontrol_todo                           待办事项清单
interfacecontrol_todo_tooltip                   切换显示待办事项清单
interfacecontrol_research                       监狱制度
interfacecontrol_research_tooltip               开启监狱制度画面，你可以在这里指派管理干部并解锁新的物品、职员类型和监狱设施
interfacecontrol_grading                        监狱评鉴
interfacecontrol_grading_tooltip                开启监狱评鉴画面，显示目前监狱整体报告与评分

interface_confirmlandbuy                        你确定要花费 $*X 购买这块土地吗？
interface_loadconfirm                           你确定要读档吗？所有未储存的进度将会遗失。
interface_saveconfirm                           你确定要使用这个档名存档吗？已有的存档资料将会被覆盖。

interface_landbuylabel                          *X公尺 x *Y公尺，总面积 *A 平方公尺， *C

interface_action_dismantle                      拆除
interface_action_dump                           丢弃
interface_action_repair                         维修
interface_action_medicalbay                     医务室
interface_action_search                         搜索
interface_action_searchcell                     搜索牢房
interface_action_searchcellblock                搜索牢房区
interface_action_sack                           装麻布袋
interface_action_doormodenormal                 门禁模式: 一般
interface_action_doormodelockedshut             门禁模式: 上锁
interface_action_doormodelockedopen             门禁模式: 开放
interface_action_switchon                       开启
interface_action_switchoff                      关闭
interface_action_sellobject                     出售
interface_action_dismiss                        解散
interface_action_connect                        连接线路
interface_action_clearconnections               清除连接线路
interface_action_servoopen                      触发时开启
interface_action_servoclose                     触发时关闭

interface_contents_container                    内容: *X 
interface_contents_stack                        内容: *X x *Y 

interface_skip                                  跳过

interface_foundationsinprogress                 地基建设中
riot_underway                                   发生暴动
riot_status_prisoners                           *X 名囚犯正在暴动
shakedown_underway                              全面安检进行中
shakedown_found                                 查获:

gameover_caption                                请按 ESC 继续游戏

sector_jobs_max                                 工作名额上限 *X
sector_jobs_qualified                           受训合格囚犯: *X
sector_jobs_required                            (缺额: *X)
sector_noaccess                                 无法进出
sector_insecure                                 不安全

patrol_assign_1                                 指派警卫巡逻:
patrol_assign_2                                 请点选已规划好的巡逻路线


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					硬体相容性测试
hardware_compat_message					在您的同意下，我们将会搜集以下您电脑的硬体资料\n\n这些资料将会完全匿名，并协助监狱建筑师(Prison Architect)能在更多的电脑硬体上顺利执行，\n\n感谢您！
hardware_compat_accept					接受
hardware_compat_decline					拒绝

connectionmenu_connect                  连线
connectionmenu_disconnect               断线
connectionmenu_clear                    清除
connectionmenu_done                     完成


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      建造
buildtoolbar_reports                    监狱报告
buildtoolbar_bangup                     全体回房
buildtoolbar_lockdown                   全面封锁
buildtoolbar_shakedown                  全面安检
buildtoolbar_weaponsfree                自由射击

buildtoolbar_tooltip_reports			开启监狱报告书，检视囚犯、员工、收入、补助计划等等相关资讯。
buildtoolbar_tooltip_bangup				将所有 (愿意的) 囚犯送回他们的牢房，但如果你把囚犯锁在牢房太久，他们会非常生气。
buildtoolbar_tooltip_lockdown			立刻上锁监狱内所有的门。
buildtoolbar_tooltip_shakedown          下令立即进行全面安检搜索所有牢房，搜索将会花费一些时间才能完成，同时也会惹恼你的囚犯们。
buildtoolbar_tooltip_weaponsfree        授权你的武装警卫使用致命武器。

buildtoolbar_cost						费用: $*C
buildtoolbar_cost_sqrft					费用: 每平方公尺 $*C
buildtoolbar_wages						薪资: 每天 $*W
buildtoolbar_outdoor					仅限户外
buildtoolbar_indoor						仅限室内
buildtoolbar_walk_speed					移动速度: *S
buildtoolbar_walk_speed_slow			慢
buildtoolbar_walk_speed_norm			一般
buildtoolbar_walk_speed_fast			快
buildtoolbar_locked                     未解锁
buildtoolbar_locked_research			未解锁 (需要监狱制度: *B)
buildtoolbar_locked_administrator		未解锁 (需要管理干部: *B)
buildtoolbar_room						房间

buildtoolbar_electrical                 - 电气设备
buildtoolbar_highpower                  - 高压设备
buildtoolbar_water                      - 需要连接水管
buildtoolbar_wired                      - 已连接 (正连接到其他设备)
buildtoolbar_modcontent                 - 模组内容

buildtoolbar_popup_foundations			建造/拆除 建筑物来塑造监狱的格局。
buildtoolbar_popup_construction			不同类型的地板和墙面。
buildtoolbar_popup_planning				可在不影响工人目前工作的情况下，自由的规划你的监狱。
buildtoolbar_popup_designation			指定监狱特定区域为特殊用途空间。
buildtoolbar_popup_objects				在监狱内设置各种实用的设施。
buildtoolbar_popup_overlays				显示监狱的安全弱点。
buildtoolbar_popup_utilities			水电管线系统。
buildtoolbar_popup_staff				聘请管理干部协助监狱运转。
buildtoolbar_popup_deployment			指派员工到监狱内特定区域。
buildtoolbar_popup_logistics            指派囚犯在监狱内进行后勤劳动工作，并可手动指派餐厅和衣物清洗工作。
buildtoolbar_popup_research				为监狱解锁更多功能。
buildtoolbar_popup_emergencies			呼叫紧急支援协助解决监狱内的突发事件。
buildtoolbar_popup_spawn				重生？这是啥鬼东西？
buildtoolbar_popup_clone				按右键选取复制现有的建筑设施，然后可以直接贴上。
buildtoolbar_popup_properties			找出是啥在搞鬼。
buildtoolbar_popup_contraband           显示违禁品的来源，以及最近没收的违禁品，另外也会显示秘密线人和他的相关资料。
buildtoolbar_popup_grading              检视监狱在四项重点项目中的评价 - 惩处、教化、保安、医疗，同时显示囚犯出狱后的再犯率。
